family,comp,n,residual,ci_lo,ci_hi,p,bh_fdr,bonferroni
rep,ASN+ASN+SUP,1262,-0.002739,-0.029409,0.023430,0.86133,false,false
7C2,DMG&ASN,30906,0.000447,-0.004299,0.005344,0.86267,false,false
rep,CTL+TNK+TNK,655,0.003699,-0.034288,0.041031,0.86733,false,false
7C3,ART+ASN+TNK,503,0.003571,-0.038391,0.045564,0.87000,false,false
7C3,ASN+MRK+SUP,2535,0.001395,-0.016699,0.020854,0.88000,false,false
7C3,ASN+CTL+MRK,4024,-0.001447,-0.016949,0.013660,0.88067,false,false
rep,ART+MRK+MRK,260,0.004877,-0.057413,0.063102,0.88133,false,false
7C2,DMG&CTL,27075,0.000248,-0.004917,0.005502,0.92600,false,false
7C3,ASN+DMG+MRK,5193,-0.000686,-0.013685,0.012551,0.93933,false,false
7C2,ART&TNK,2065,0.001157,-0.020169,0.022600,0.95200,false,false
7C3,DMG+SUP+TNK,1496,-0.000370,-0.024850,0.024786,0.99933,false,false
