slice,kind,label,n,residual,ci_lo,ci_hi,p,fdr
"GLOBAL (all modes, all maps)",pair,"Mico + Otis",100,0.076154,-0.021602,0.170995,0.12739,false
"GLOBAL (all modes, all maps)",pair,"Mandy + Rico",138,-0.065876,-0.150458,0.019415,0.12765,false
"GLOBAL (all modes, all maps)",pair,"Sprout + Gene",142,0.063720,-0.014474,0.143689,0.12822,false
"GLOBAL (all modes, all maps)",pair,"Mina + Ruffs",102,0.076186,-0.020911,0.173450,0.12825,false
"GLOBAL (all modes, all maps)",pair,"Gray + Crow",104,-0.071613,-0.161864,0.024540,0.12934,false
"GLOBAL (all modes, all maps)",pair,"Alli + Max",96,-0.074862,-0.172976,0.024365,0.12947,false
"GLOBAL (all modes, all maps)",pair,"Pierce + Tara",113,-0.068100,-0.153376,0.020924,0.13025,false
"GLOBAL (all modes, all maps)",pair,"Damian + Edgar",232,0.049468,-0.012025,0.115234,0.13086,false
"GLOBAL (all modes, all maps)",pair,"Belle + Crow",114,-0.067153,-0.155223,0.019342,0.13253,false
"GLOBAL (all modes, all maps)",pair,"Carl + Bo",173,0.056864,-0.020636,0.131763,0.13277,false
"GLOBAL (all modes, all maps)",pair,"Mandy + Gene",140,0.062485,-0.017991,0.143835,0.13279,false
"GLOBAL (all modes, all maps)",pair,"Starr Nova + Squeak",88,-0.079088,-0.178889,0.027024,0.13282,false
"GLOBAL (all modes, all maps)",pair,"Mandy + Brock",426,0.035596,-0.008869,0.082600,0.13320,false
"GLOBAL (all modes, all maps)",pair,"Edgar + Mortis",314,-0.042805,-0.098249,0.011292,0.13454,false
"GLOBAL (all modes, all maps)",pair,"8-Bit + Mortis",485,0.033769,-0.013480,0.078977,0.13661,false
"GLOBAL (all modes, all maps)",pair,"Nani + Carl",60,0.091615,-0.030077,0.215809,0.13672,false
"GLOBAL (all modes, all maps)",pair,"Pierce + Surge",884,-0.024571,-0.057624,0.007603,0.13672,false
"GLOBAL (all modes, all maps)",pair,"Griff + Shelly",149,0.060504,-0.019662,0.139201,0.13766,false
"GLOBAL (all modes, all maps)",pair,"Mandy + Jessie",68,-0.083887,-0.193994,0.031146,0.13859,false
"GLOBAL (all modes, all maps)",pair,"Kaze + Brock",330,-0.041632,-0.097039,0.014545,0.13953,false
"GLOBAL (all modes, all maps)",pair,"Belle + 8-Bit",110,-0.069570,-0.164574,0.023977,0.14036,false
"GLOBAL (all modes, all maps)",pair,"Bolt + Meeple",203,-0.051898,-0.118013,0.018273,0.14150,false
"GLOBAL (all modes, all maps)",pair,"Mandy + Carl",108,0.070592,-0.020904,0.164492,0.14273,false
"GLOBAL (all modes, all maps)",pair,"Berry + Carl",74,0.086086,-0.034393,0.198963,0.14298,false
"GLOBAL (all modes, all maps)",pair,"Edgar + Colt",629,0.028823,-0.011413,0.066405,0.14344,false
"GLOBAL (all modes, all maps)",pair,"Pierce + Gene",408,0.036253,-0.012661,0.085173,0.14363,false
"GLOBAL (all modes, all maps)",pair,"Gus + Byron",186,0.054098,-0.016659,0.124595,0.14379,false
"GLOBAL (all modes, all maps)",triple,"Griff + Max + Crow",61,-0.090585,-0.214446,0.025270,0.14406,false
"GLOBAL (all modes, all maps)",pair,"Pearl + Bo",85,0.074607,-0.029968,0.171211,0.14463,false
"GLOBAL (all modes, all maps)",pair,"Bo + Crow",729,0.026527,-0.008762,0.062500,0.14476,false
"GLOBAL (all modes, all maps)",pair,"Mico + Colt",332,0.039531,-0.014467,0.091159,0.14512,false
"GLOBAL (all modes, all maps)",pair,"Pierce + 8-Bit",514,-0.032800,-0.076087,0.012943,0.14559,false
"GLOBAL (all modes, all maps)",pair,"Najia + Gray",70,0.085396,-0.030870,0.203345,0.14569,false
"GLOBAL (all modes, all maps)",pair,"Damian + Leon",123,-0.066850,-0.159381,0.020502,0.14706,false
"GLOBAL (all modes, all maps)",pair,"Sprout + Rico",62,0.088623,-0.033266,0.205075,0.14710,false
"GLOBAL (all modes, all maps)",pair,"Najia + Max",140,-0.057892,-0.136798,0.022386,0.14745,false
"GLOBAL (all modes, all maps)",pair,"Griff + Sprout",71,0.083960,-0.031061,0.200064,0.14854,false
"GLOBAL (all modes, all maps)",pair,"Meeple + Dynamike",77,0.078683,-0.027555,0.190110,0.14862,false
"GLOBAL (all modes, all maps)",pair,"Shade + Colt",85,0.079930,-0.028838,0.189759,0.14920,false
"GLOBAL (all modes, all maps)",pair,"Surge + Bo",621,0.028546,-0.011482,0.066615,0.14988,false
"GLOBAL (all modes, all maps)",pair,"Cordelius + Bibi",92,0.072514,-0.029299,0.172675,0.14995,false
"GLOBAL (all modes, all maps)",pair,"Byron + Crow",385,-0.036420,-0.087127,0.011485,0.15020,false
"GLOBAL (all modes, all maps)",pair,"Mandy + Meg",104,0.070865,-0.024361,0.164043,0.15083,false
"GLOBAL (all modes, all maps)",pair,"Berry + Leon",65,0.086599,-0.030428,0.203258,0.15177,false
"GLOBAL (all modes, all maps)",pair,"Gray + Brock",253,0.043313,-0.015761,0.102635,0.15199,false
"GLOBAL (all modes, all maps)",pair,"Stu + Brock",404,-0.035480,-0.081039,0.013889,0.15326,false
"GLOBAL (all modes, all maps)",pair,"Meg + Rico",646,0.027873,-0.009289,0.065991,0.15358,false
"GLOBAL (all modes, all maps)",pair,"Fang + Squeak",73,-0.083275,-0.193406,0.032149,0.15505,false
"GLOBAL (all modes, all maps)",pair,"Surge + Gene",372,-0.037601,-0.088202,0.013958,0.15547,false
"GLOBAL (all modes, all maps)",pair,"Otis + Leon",170,-0.054423,-0.132245,0.020761,0.15595,false
"GLOBAL (all modes, all maps)",pair,"Ruffs + Colt",94,-0.072092,-0.167703,0.028896,0.15631,false
"GLOBAL (all modes, all maps)",pair,"Lou + Spike",61,0.090522,-0.031545,0.212675,0.15641,false
"GLOBAL (all modes, all maps)",pair,"Damian + Griff",625,0.027680,-0.009655,0.065020,0.15662,false
"GLOBAL (all modes, all maps)",pair,"Kaze + Penny",87,0.074423,-0.027527,0.178952,0.15768,false
"GLOBAL (all modes, all maps)",pair,"Shade + 8-Bit",123,0.060981,-0.021694,0.145208,0.15776,false
"GLOBAL (all modes, all maps)",pair,"Moe + Crow",82,0.078467,-0.027629,0.192476,0.15806,false
"GLOBAL (all modes, all maps)",pair,"Starr Nova + Gray",110,0.064519,-0.023834,0.153153,0.15814,false
"GLOBAL (all modes, all maps)",pair,"Carl + Nita",76,-0.078661,-0.188289,0.029075,0.15836,false
"GLOBAL (all modes, all maps)",pair,"Moe + Stu",68,0.082360,-0.034187,0.198669,0.15902,false
"GLOBAL (all modes, all maps)",pair,"Tara + Piper",65,-0.090490,-0.210218,0.042404,0.15907,false
"GLOBAL (all modes, all maps)",pair,"Edgar + Rico",688,-0.025843,-0.061542,0.010714,0.15910,false
"GLOBAL (all modes, all maps)",pair,"Damian + Piper",216,-0.046190,-0.108148,0.019927,0.15989,false
"GLOBAL (all modes, all maps)",pair,"Starr Nova + Alli",86,0.073186,-0.032446,0.173441,0.16213,false
"GLOBAL (all modes, all maps)",pair,"8-Bit + Colt",486,0.031613,-0.013151,0.076438,0.16314,false
"GLOBAL (all modes, all maps)",pair,"Pearl + Piper",271,0.042700,-0.017347,0.101717,0.16403,false
"GLOBAL (all modes, all maps)",pair,"Kaze + Byron",104,0.066224,-0.025807,0.160172,0.16412,false
"GLOBAL (all modes, all maps)",pair,"Max + Carl",185,-0.051951,-0.122766,0.019220,0.16504,false
"GLOBAL (all modes, all maps)",pair,"Griff + Penny",352,-0.036451,-0.087185,0.013760,0.16646,false
"GLOBAL (all modes, all maps)",pair,"Gray + Emz",77,0.074502,-0.036344,0.175861,0.16717,false
"GLOBAL (all modes, all maps)",pair,"Stu + Surge",547,-0.030089,-0.071521,0.013080,0.16730,false
"GLOBAL (all modes, all maps)",pair,"Griff + El Primo",74,0.076811,-0.031740,0.189464,0.16790,false
"GLOBAL (all modes, all maps)",pair,"Lily + Byron",76,-0.076377,-0.183708,0.028451,0.16844,false
"GLOBAL (all modes, all maps)",pair,"Griff + Byron",384,-0.034561,-0.085451,0.014409,0.16951,false
"GLOBAL (all modes, all maps)",pair,"Emz + Shelly",124,0.059190,-0.022349,0.142224,0.17161,false
"GLOBAL (all modes, all maps)",pair,"Gus + Bo",70,-0.078713,-0.189314,0.039765,0.17178,false
"GLOBAL (all modes, all maps)",pair,"Meg + Surge",653,0.025998,-0.011696,0.062545,0.17238,false
"GLOBAL (all modes, all maps)",pair,"Belle + Max",206,0.048576,-0.023473,0.117314,0.17251,false
"GLOBAL (all modes, all maps)",pair,"Melodie + Surge",130,-0.060908,-0.144950,0.031573,0.17324,false
"GLOBAL (all modes, all maps)",pair,"Kaze + Angelo",106,0.065490,-0.030733,0.160178,0.17326,false
"GLOBAL (all modes, all maps)",pair,"Starr Nova + Spike",231,0.045009,-0.018934,0.108801,0.17425,false
"GLOBAL (all modes, all maps)",pair,"Gus + Nani",85,-0.072903,-0.175820,0.034168,0.17476,false
"GLOBAL (all modes, all maps)",pair,"Alli + Brock",119,0.061423,-0.026323,0.150434,0.17662,false
"GLOBAL (all modes, all maps)",pair,"Lumi + Shade",138,0.056546,-0.029129,0.141300,0.17714,false
"GLOBAL (all modes, all maps)",pair,"Mico + Chuck",72,-0.080263,-0.202714,0.038453,0.17725,false
"GLOBAL (all modes, all maps)",pair,"Nita + Colt",127,0.057937,-0.027987,0.141882,0.17813,false
"GLOBAL (all modes, all maps)",pair,"Chester + Colt",160,-0.053457,-0.130188,0.025380,0.17961,false
"GLOBAL (all modes, all maps)",pair,"Rico + Colt",371,-0.034268,-0.084821,0.015825,0.18162,false
"GLOBAL (all modes, all maps)",pair,"Charlie + Meg",111,-0.062360,-0.151359,0.030621,0.18271,false
"GLOBAL (all modes, all maps)",pair,"Damian + Penny",122,0.059067,-0.025470,0.145360,0.18294,false
"GLOBAL (all modes, all maps)",pair,"Pearl + Brock",317,0.035695,-0.017870,0.085199,0.18303,false
"GLOBAL (all modes, all maps)",pair,"Berry + Rico",189,-0.045986,-0.113699,0.024924,0.18331,false
"GLOBAL (all modes, all maps)",pair,"Kenji + Spike",78,-0.075180,-0.186822,0.039299,0.18338,false
"GLOBAL (all modes, all maps)",pair,"Spike + Rico",247,-0.041957,-0.104714,0.021140,0.18385,false
"GLOBAL (all modes, all maps)",pair,"Max + Mortis",497,0.029974,-0.014547,0.073925,0.18475,false
"GLOBAL (all modes, all maps)",pair,"Edgar + Amber",77,-0.075209,-0.185135,0.030973,0.18479,false
"GLOBAL (all modes, all maps)",pair,"Edgar + Emz",625,-0.025549,-0.062881,0.011241,0.18524,false
"GLOBAL (all modes, all maps)",pair,"Starr Nova + Fang",158,-0.050915,-0.122204,0.026577,0.18536,false
"GLOBAL (all modes, all maps)",pair,"Griff + Squeak",172,-0.050635,-0.127917,0.026507,0.18594,false
"GLOBAL (all modes, all maps)",pair,"Damian + Poco",71,0.077080,-0.042629,0.189088,0.18652,false
"GLOBAL (all modes, all maps)",pair,"Damian + Mortis",122,-0.059377,-0.144297,0.033217,0.18808,false
"GLOBAL (all modes, all maps)",pair,"Surge + Leon",355,-0.033723,-0.084099,0.016691,0.18819,false
"GLOBAL (all modes, all maps)",pair,"Shade + Carl",66,-0.081821,-0.200135,0.041015,0.18838,false
"GLOBAL (all modes, all maps)",pair,"Shade + Nita",61,-0.081373,-0.199835,0.041745,0.18857,false
"GLOBAL (all modes, all maps)",pair,"Gigi + Surge",130,-0.059055,-0.149474,0.024439,0.19045,false
"GLOBAL (all modes, all maps)",pair,"Mandy + Surge",227,0.042673,-0.016475,0.107821,0.19120,false
"GLOBAL (all modes, all maps)",pair,"Byron + Penny",110,0.061301,-0.034139,0.154827,0.19207,false
"GLOBAL (all modes, all maps)",pair,"8-Bit + Crow",989,-0.020202,-0.049524,0.010072,0.19214,false
"GLOBAL (all modes, all maps)",pair,"Najia + Colt",129,-0.055186,-0.138706,0.025737,0.19446,false
"GLOBAL (all modes, all maps)",pair,"Meeple + Mandy",119,0.060711,-0.030046,0.154843,0.19456,false
"GLOBAL (all modes, all maps)",pair,"Otis + Carl",195,0.045731,-0.023681,0.112528,0.19620,false
"GLOBAL (all modes, all maps)",pair,"Bo + Jessie",136,0.055780,-0.027312,0.141576,0.19628,false
"GLOBAL (all modes, all maps)",pair,"Bolt + Edgar",182,0.045890,-0.025394,0.114029,0.19734,false
"GLOBAL (all modes, all maps)",pair,"Melodie + Carl",64,0.077142,-0.041667,0.192212,0.19784,false
"GLOBAL (all modes, all maps)",pair,"Meg + Ash",116,0.055008,-0.032548,0.137256,0.19832,false
"GLOBAL (all modes, all maps)",pair,"Meg + Colt",373,0.032736,-0.017465,0.083639,0.19876,false
"GLOBAL (all modes, all maps)",pair,"Gray + Nani",60,-0.084461,-0.208779,0.051274,0.19906,false
"GLOBAL (all modes, all maps)",pair,"Kaze + Rico",106,0.061307,-0.031523,0.154231,0.19916,false
"GLOBAL (all modes, all maps)",pair,"Mina + Chester",90,-0.064225,-0.161406,0.031457,0.20150,false
"GLOBAL (all modes, all maps)",pair,"Bull + Colt",187,0.046295,-0.026425,0.116512,0.20199,false
"GLOBAL (all modes, all maps)",pair,"Chester + Bo",349,0.033123,-0.018959,0.082200,0.20199,false
"GLOBAL (all modes, all maps)",pair,"Meeple + Kenji",161,-0.048431,-0.122663,0.022978,0.20293,false
"GLOBAL (all modes, all maps)",pair,"Melodie + 8-Bit",99,-0.063838,-0.162638,0.031668,0.20336,false
"GLOBAL (all modes, all maps)",pair,"Chester + Fang",72,0.072036,-0.036328,0.185637,0.20390,false
"GLOBAL (all modes, all maps)",pair,"Piper + Brock",904,0.020467,-0.013282,0.051224,0.20498,false
"GLOBAL (all modes, all maps)",pair,"Sandy + Crow",79,0.074143,-0.042220,0.183886,0.20549,false
"GLOBAL (all modes, all maps)",pair,"Bo + Dynamike",129,-0.054807,-0.141015,0.031699,0.20573,false
"GLOBAL (all modes, all maps)",pair,"Meeple + Leon",253,-0.038896,-0.099849,0.021331,0.20617,false
"GLOBAL (all modes, all maps)",pair,"Alli + Colt",115,0.057276,-0.037526,0.144733,0.20635,false
"GLOBAL (all modes, all maps)",pair,"Bolt + Gene",114,-0.058371,-0.152928,0.028943,0.20727,false
"GLOBAL (all modes, all maps)",pair,"Griff + Colt",687,-0.023855,-0.062892,0.013082,0.20878,false
"GLOBAL (all modes, all maps)",pair,"Damian + Belle",60,-0.081065,-0.203471,0.046460,0.20929,false
"GLOBAL (all modes, all maps)",pair,"Crow + Spike",355,0.032116,-0.018095,0.082733,0.21074,false
"GLOBAL (all modes, all maps)",pair,"Pierce + Alli",80,0.069474,-0.036250,0.181616,0.21076,false
"GLOBAL (all modes, all maps)",pair,"Damian + Gene",181,-0.045202,-0.112071,0.029332,0.21101,false
"GLOBAL (all modes, all maps)",pair,"Sirius + Griff",216,0.042340,-0.027992,0.106328,0.21203,false
"GLOBAL (all modes, all maps)",pair,"Pierce + Pearl",230,-0.040726,-0.105573,0.025536,0.21205,false
"GLOBAL (all modes, all maps)",pair,"Surge + Dynamike",200,-0.043360,-0.111158,0.026202,0.21316,false
"GLOBAL (all modes, all maps)",pair,"Chuck + Rico",88,-0.063525,-0.161657,0.035350,0.21369,false
"GLOBAL (all modes, all maps)",pair,"Juju + Shade",63,-0.077844,-0.197191,0.044042,0.21383,false
"GLOBAL (all modes, all maps)",pair,"Carl + Brock",424,-0.029898,-0.077062,0.019427,0.21445,false
"GLOBAL (all modes, all maps)",pair,"Emz + 8-Bit",250,-0.038981,-0.101377,0.023306,0.21460,false
"GLOBAL (all modes, all maps)",pair,"Emz + Mortis",264,-0.038502,-0.100697,0.022369,0.21471,false
"GLOBAL (all modes, all maps)",pair,"Meeple + Rico",534,0.026010,-0.014788,0.066944,0.21489,false
"GLOBAL (all modes, all maps)",pair,"Gigi + Crow",113,0.058711,-0.033861,0.151956,0.21542,false
"GLOBAL (all modes, all maps)",pair,"Grom + Leon",76,-0.068429,-0.181168,0.034767,0.21601,false
"GLOBAL (all modes, all maps)",pair,"Starr Nova + Belle",121,0.056721,-0.031922,0.149246,0.21637,false
"GLOBAL (all modes, all maps)",pair,"Najia + Squeak",60,0.077285,-0.046576,0.199990,0.21707,false
"GLOBAL (all modes, all maps)",pair,"Mina + Penny",74,0.069988,-0.045527,0.177408,0.21739,false
"GLOBAL (all modes, all maps)",pair,"Nani + Max",231,0.039421,-0.025328,0.099991,0.21788,false
"GLOBAL (all modes, all maps)",pair,"Fang + Spike",109,0.059564,-0.039238,0.155171,0.21994,false
"GLOBAL (all modes, all maps)",pair,"Bea + Leon",87,-0.065016,-0.168641,0.043098,0.22036,false
"GLOBAL (all modes, all maps)",pair,"Carl + Mortis",104,0.059273,-0.037265,0.154873,0.22056,false
"GLOBAL (all modes, all maps)",pair,"Meeple + Emz",437,0.029414,-0.017962,0.077120,0.22070,false
"GLOBAL (all modes, all maps)",pair,"Griff + Bea",104,-0.059367,-0.152417,0.038012,0.22178,false
"GLOBAL (all modes, all maps)",pair,"Stu + Colt",170,-0.046143,-0.117404,0.025584,0.22188,false
"GLOBAL (all modes, all maps)",pair,"Fang + Penny",74,-0.070889,-0.183135,0.042246,0.22261,false
"GLOBAL (all modes, all maps)",pair,"Pierce + Mortis",478,0.028534,-0.016032,0.074093,0.22276,false
"GLOBAL (all modes, all maps)",pair,"Bibi + Crow",259,-0.038254,-0.101443,0.020266,0.22336,false
"GLOBAL (all modes, all maps)",pair,"Squeak + Rico",100,0.061143,-0.031742,0.161807,0.22412,false
"GLOBAL (all modes, all maps)",pair,"Lumi + Ruffs",108,-0.058403,-0.155932,0.036880,0.22522,false
"GLOBAL (all modes, all maps)",pair,"Tara + Rico",335,-0.032954,-0.083843,0.019553,0.22572,false
"GLOBAL (all modes, all maps)",pair,"Colette + Surge",256,0.036138,-0.023534,0.093936,0.22616,false
"GLOBAL (all modes, all maps)",pair,"Tick + Bo",149,0.047152,-0.031889,0.122388,0.22683,false
"GLOBAL (all modes, all maps)",pair,"Gigi + Max",91,-0.060884,-0.159880,0.040166,0.22725,false
"GLOBAL (all modes, all maps)",pair,"Penny + Mortis",170,-0.044921,-0.116496,0.030756,0.22851,false
"GLOBAL (all modes, all maps)",pair,"Mandy + Nani",126,0.050636,-0.033369,0.131637,0.22970,false
"GLOBAL (all modes, all maps)",pair,"Bolt + Tara",117,-0.056036,-0.141147,0.042408,0.22989,false
"GLOBAL (all modes, all maps)",pair,"Edgar + Tara",386,-0.030967,-0.080473,0.018714,0.23002,false
"GLOBAL (all modes, all maps)",pair,"Kenji + Max",86,-0.066568,-0.172042,0.043723,0.23117,false
"GLOBAL (all modes, all maps)",pair,"Damian + Berry",148,-0.047345,-0.125113,0.035012,0.23258,false
"GLOBAL (all modes, all maps)",pair,"Mina + Meeple",224,-0.038903,-0.102600,0.029317,0.23306,false
"GLOBAL (all modes, all maps)",pair,"Byron + Nani",259,0.037267,-0.025023,0.098671,0.23318,false
"GLOBAL (all modes, all maps)",pair,"Pearl + Rico",111,0.054120,-0.037373,0.143263,0.23419,false
"GLOBAL (all modes, all maps)",pair,"Squeak + Max",122,0.053803,-0.032071,0.140878,0.23421,false
"GLOBAL (all modes, all maps)",pair,"Nani + Leon",177,0.044218,-0.031707,0.119723,0.23431,false
"GLOBAL (all modes, all maps)",pair,"Surge + Carl",390,0.028620,-0.019276,0.076733,0.23635,false
"GLOBAL (all modes, all maps)",pair,"Damian + Colt",93,-0.061132,-0.159833,0.035999,0.23642,false
"GLOBAL (all modes, all maps)",pair,"Eve + Colt",82,0.063599,-0.041677,0.168782,0.23654,false
"GLOBAL (all modes, all maps)",pair,"Alli + Meeple",86,0.062366,-0.042369,0.166538,0.23694,false
"GLOBAL (all modes, all maps)",pair,"Bolt + Lumi",70,0.068732,-0.043209,0.181631,0.23790,false
"GLOBAL (all modes, all maps)",pair,"Berry + Penny",75,-0.067041,-0.174623,0.046427,0.23869,false
"GLOBAL (all modes, all maps)",pair,"Kit + 8-Bit",106,-0.057018,-0.149663,0.039799,0.23880,false
"GLOBAL (all modes, all maps)",pair,"Stu + Carl",181,0.043525,-0.031096,0.113424,0.23924,false
"GLOBAL (all modes, all maps)",pair,"Pearl + Gene",153,0.046810,-0.034364,0.124191,0.23959,false
"GLOBAL (all modes, all maps)",pair,"Griff + Colette",410,-0.028975,-0.079168,0.020748,0.23962,false
"GLOBAL (all modes, all maps)",pair,"Meg + Carl",230,-0.037469,-0.099298,0.023806,0.24191,false
"GLOBAL (all modes, all maps)",pair,"Otis + Emz",259,0.035014,-0.024909,0.092208,0.24220,false
"GLOBAL (all modes, all maps)",pair,"Finx + Brock",64,-0.072323,-0.187130,0.055621,0.24341,false
"GLOBAL (all modes, all maps)",pair,"Nani + Crow",149,-0.047701,-0.129846,0.033746,0.24347,false
"GLOBAL (all modes, all maps)",pair,"Mandy + Belle",96,0.059388,-0.037220,0.163283,0.24601,false
"GLOBAL (all modes, all maps)",pair,"Angelo + Byron",215,-0.038944,-0.100430,0.026565,0.24618,false
"GLOBAL (all modes, all maps)",pair,"Meg + Colette",137,-0.049260,-0.131796,0.036321,0.24631,false
"GLOBAL (all modes, all maps)",pair,"8-Bit + Bibi",127,0.051048,-0.040976,0.136412,0.24711,false
"GLOBAL (all modes, all maps)",pair,"Meeple + Tick",111,0.054037,-0.038408,0.145949,0.24771,false
"GLOBAL (all modes, all maps)",pair,"Meeple + Berry",101,-0.055636,-0.152239,0.036775,0.24836,false
"GLOBAL (all modes, all maps)",pair,"Cordelius + Spike",83,0.061653,-0.034989,0.166931,0.24844,false
"GLOBAL (all modes, all maps)",pair,"Pierce + Rico",319,0.031584,-0.023625,0.084703,0.24856,false
"GLOBAL (all modes, all maps)",pair,"Nani + Brock",440,-0.026766,-0.071915,0.019518,0.25006,false
"GLOBAL (all modes, all maps)",pair,"Emz + Bo",394,0.028108,-0.020331,0.075077,0.25036,false
"GLOBAL (all modes, all maps)",pair,"Gigi + 8-Bit",76,0.066669,-0.041825,0.183536,0.25071,false
"GLOBAL (all modes, all maps)",pair,"Starr Nova + Pierce",823,0.019789,-0.011684,0.054837,0.25076,false
"GLOBAL (all modes, all maps)",pair,"Kenji + Bo",123,0.050246,-0.034498,0.134058,0.25124,false
"GLOBAL (all modes, all maps)",pair,"Starr Nova + Najia",125,-0.050206,-0.138043,0.037550,0.25168,false
"GLOBAL (all modes, all maps)",pair,"Nita + Rico",139,0.049583,-0.039633,0.132869,0.25235,false
"GLOBAL (all modes, all maps)",pair,"Otis + Meg",419,-0.027538,-0.074990,0.019085,0.25418,false
"GLOBAL (all modes, all maps)",pair,"Fang + Piper",210,-0.038801,-0.103156,0.029118,0.25444,false
"GLOBAL (all modes, all maps)",pair,"Mico + Bull",74,-0.066117,-0.182504,0.046790,0.25481,false
"GLOBAL (all modes, all maps)",pair,"Max + Bea",69,0.067809,-0.047177,0.186928,0.25500,false
"GLOBAL (all modes, all maps)",pair,"Starr Nova + Gigi",72,-0.064771,-0.171286,0.050936,0.25614,false
"GLOBAL (all modes, all maps)",pair,"Starr Nova + Pearl",177,-0.042078,-0.114816,0.034060,0.25768,false
"GLOBAL (all modes, all maps)",pair,"Mico + Surge",329,-0.030573,-0.085414,0.022432,0.25863,false
"GLOBAL (all modes, all maps)",pair,"Mina + Stu",185,0.040926,-0.030123,0.111364,0.25893,false
"GLOBAL (all modes, all maps)",pair,"Griff + 8-Bit",1214,-0.016178,-0.044558,0.012499,0.25927,false
"GLOBAL (all modes, all maps)",pair,"Ruffs + Rico",224,-0.037964,-0.102720,0.027325,0.25951,false
"GLOBAL (all modes, all maps)",pair,"Sirius + Edgar",126,0.049982,-0.043910,0.133032,0.25987,false
"GLOBAL (all modes, all maps)",pair,"Berry + Mico",97,-0.054242,-0.146273,0.043059,0.26033,false
"GLOBAL (all modes, all maps)",pair,"Starr Nova + Lou",165,0.045055,-0.033437,0.124088,0.26043,false
"GLOBAL (all modes, all maps)",pair,"Pierce + Grom",68,-0.064611,-0.172141,0.049230,0.26071,false
"GLOBAL (all modes, all maps)",pair,"Pearl + Colt",89,-0.060538,-0.169084,0.053444,0.26076,false
"GLOBAL (all modes, all maps)",pair,"Fang + Brock",339,-0.030638,-0.081465,0.024301,0.26078,false
"GLOBAL (all modes, all maps)",pair,"Edgar + Gene",217,-0.037724,-0.102989,0.026411,0.26146,false
"GLOBAL (all modes, all maps)",pair,"Kenji + Crow",210,0.039359,-0.026414,0.106671,0.26166,false
"GLOBAL (all modes, all maps)",pair,"Meeple + 8-Bit",524,0.023584,-0.017504,0.066445,0.26185,false
"GLOBAL (all modes, all maps)",pair,"Lumi + Chester",178,0.040873,-0.030004,0.112079,0.26218,false
"GLOBAL (all modes, all maps)",pair,"Kenji + Stu",109,-0.051615,-0.140158,0.035845,0.26319,false
"GLOBAL (all modes, all maps)",pair,"Edgar + Nita",163,0.042426,-0.035047,0.114580,0.26476,false
"GLOBAL (all modes, all maps)",pair,"Dynamike + Bull",106,0.053492,-0.041170,0.141351,0.26644,false
"GLOBAL (all modes, all maps)",pair,"Pierce + Bo",336,0.029154,-0.020257,0.081320,0.26681,false
"GLOBAL (all modes, all maps)",pair,"Gus + Griff",121,-0.048255,-0.129961,0.042610,0.26700,false
"GLOBAL (all modes, all maps)",pair,"Gus + Tick",83,0.059907,-0.047608,0.163037,0.26862,false
"GLOBAL (all modes, all maps)",pair,"Tara + Colt",184,-0.040629,-0.113838,0.033627,0.26883,false
"GLOBAL (all modes, all maps)",pair,"Doug + Griff",115,-0.050349,-0.134564,0.042793,0.26888,false
"GLOBAL (all modes, all maps)",pair,"Bolt + Rico",156,0.041940,-0.031495,0.116045,0.26956,false
"GLOBAL (all modes, all maps)",pair,"Stu + Spike",159,0.043034,-0.040686,0.115082,0.27106,false
"GLOBAL (all modes, all maps)",pair,"Mico + Bo",85,-0.058922,-0.163101,0.040318,0.27188,false
"GLOBAL (all modes, all maps)",pair,"Ruffs + Piper",138,0.047505,-0.037291,0.131894,0.27290,false
"GLOBAL (all modes, all maps)",pair,"Surge + Mortis",577,0.022631,-0.015214,0.064627,0.27365,false
"GLOBAL (all modes, all maps)",pair,"Byron + Piper",752,0.019972,-0.015332,0.056547,0.27417,false
"GLOBAL (all modes, all maps)",pair,"Pearl + Crow",205,-0.039475,-0.110825,0.030977,0.27455,false
"GLOBAL (all modes, all maps)",pair,"Starr Nova + Mina",239,-0.035544,-0.098867,0.029567,0.27479,false
"GLOBAL (all modes, all maps)",pair,"Mina + Max",361,-0.028089,-0.080234,0.021817,0.27548,false
"GLOBAL (all modes, all maps)",pair,"Angelo + Brock",247,0.034730,-0.025850,0.098167,0.27567,false
"GLOBAL (all modes, all maps)",pair,"Lumi + Bibi",105,-0.053113,-0.149737,0.043397,0.27606,false
"GLOBAL (all modes, all maps)",pair,"Gray + Surge",159,-0.043034,-0.122786,0.028945,0.27765,false
"GLOBAL (all modes, all maps)",pair,"Surge + Piper",649,-0.021297,-0.058962,0.016093,0.27868,false
"GLOBAL (all modes, all maps)",pair,"Chester + Dynamike",129,0.048081,-0.036117,0.136960,0.27910,false
"GLOBAL (all modes, all maps)",pair,"Nani + Colt",257,0.034437,-0.029908,0.097001,0.27926,false
"GLOBAL (all modes, all maps)",pair,"Mandy + Tick",124,0.048100,-0.047624,0.139033,0.28018,false
"GLOBAL (all modes, all maps)",pair,"Meeple + Gray",99,0.054940,-0.047370,0.157771,0.28103,false
"GLOBAL (all modes, all maps)",pair,"Chester + Carl",143,0.043803,-0.035959,0.121927,0.28206,false
"GLOBAL (all modes, all maps)",pair,"Colette + Piper",176,0.039335,-0.031415,0.107147,0.28235,false
"GLOBAL (all modes, all maps)",pair,"Gene + Bo",68,0.063745,-0.054445,0.179456,0.28236,false
