slice,kind,label,n,residual,ci_lo,ci_hi,p,fdr
"GLOBAL (all modes, all maps)",pair,"Sprout + Piper",136,0.097567,0.018456,0.175974,0.01741,false
"GLOBAL (all modes, all maps)",pair,"Tara + Crow",524,0.051230,0.008584,0.091945,0.01749,false
"GLOBAL (all modes, all maps)",pair,"Squeak + Edgar",188,0.084954,0.013200,0.154230,0.01753,false
"GLOBAL (all modes, all maps)",pair,"Lumi + Stu",334,0.064330,0.010967,0.117085,0.01762,false
"GLOBAL (all modes, all maps)",pair,"Bolt + Carl",80,-0.126850,-0.236402,-0.024865,0.01838,false
"GLOBAL (all modes, all maps)",pair,"Edgar + Spike",340,-0.063730,-0.117011,-0.013878,0.01869,false
"GLOBAL (all modes, all maps)",pair,"Edgar + Dynamike",213,-0.079918,-0.146224,-0.013530,0.01950,false
"GLOBAL (all modes, all maps)",pair,"Lily + Brock",165,0.092007,0.013802,0.168599,0.01972,false
"GLOBAL (all modes, all maps)",pair,"Buzz + Emz",93,0.112909,0.018218,0.208333,0.02107,false
"GLOBAL (all modes, all maps)",pair,"Kit + Max",90,-0.113469,-0.207151,-0.013768,0.02146,false
"GLOBAL (all modes, all maps)",pair,"Doug + Surge",60,0.141932,0.021775,0.261571,0.02163,false
"GLOBAL (all modes, all maps)",pair,"Meeple + Sprout",119,0.100408,0.010900,0.179385,0.02228,false
"GLOBAL (all modes, all maps)",pair,"Charlie + Crow",118,-0.101293,-0.191189,-0.010590,0.02299,false
"GLOBAL (all modes, all maps)",pair,"Lumi + Meg",312,-0.061360,-0.113564,-0.006762,0.02313,false
"GLOBAL (all modes, all maps)",pair,"Chester + Max",262,-0.070209,-0.134745,-0.011425,0.02360,false
"GLOBAL (all modes, all maps)",pair,"Shade + Max",170,0.085029,0.007987,0.159562,0.02399,false
"GLOBAL (all modes, all maps)",pair,"Kenji + Meg",182,0.082084,0.007656,0.154663,0.02447,false
"GLOBAL (all modes, all maps)",pair,"Mico + Rico",136,0.091584,0.011151,0.169919,0.02457,false
"GLOBAL (all modes, all maps)",pair,"Starr Nova + Gene",231,-0.072518,-0.136157,-0.010525,0.02466,false
"GLOBAL (all modes, all maps)",pair,"Mico + Nani",78,0.122856,0.012209,0.226359,0.02467,false
"GLOBAL (all modes, all maps)",pair,"Mina + Carl",81,0.119789,0.017549,0.224573,0.02484,false
"GLOBAL (all modes, all maps)",pair,"Colette + Brock",382,-0.053810,-0.101746,-0.009316,0.02506,false
"GLOBAL (all modes, all maps)",pair,"Stu + Crow",879,0.038155,0.003206,0.072122,0.02542,false
"GLOBAL (all modes, all maps)",pair,"Chester + Tara",277,0.066647,0.006841,0.126603,0.02578,false
"GLOBAL (all modes, all maps)",pair,"Amber + Brock",73,-0.125518,-0.233846,-0.010296,0.02610,false
"GLOBAL (all modes, all maps)",pair,"Leon + Piper",477,0.050811,0.003236,0.094360,0.02671,false
"GLOBAL (all modes, all maps)",pair,"Chuck + Crow",187,-0.079904,-0.148669,-0.010733,0.02681,false
"GLOBAL (all modes, all maps)",pair,"Grom + Edgar",86,0.111176,0.014661,0.206951,0.02693,false
"GLOBAL (all modes, all maps)",pair,"Tick + Crow",151,0.091352,0.010186,0.171944,0.02732,false
"GLOBAL (all modes, all maps)",pair,"Grom + Surge",111,0.101970,0.008674,0.192772,0.02763,false
"GLOBAL (all modes, all maps)",pair,"Otis + Ruffs",212,-0.073178,-0.134654,-0.007579,0.02827,false
"GLOBAL (all modes, all maps)",pair,"Damian + Byron",296,-0.062217,-0.118784,-0.007432,0.02967,false
"GLOBAL (all modes, all maps)",pair,"Penny + Tara",63,-0.132738,-0.248072,-0.012301,0.02991,false
"GLOBAL (all modes, all maps)",pair,"Spike + Bull",105,-0.099399,-0.190451,-0.009572,0.03096,false
"GLOBAL (all modes, all maps)",pair,"Brock + Bull",247,-0.067351,-0.128507,-0.006075,0.03201,false
"GLOBAL (all modes, all maps)",pair,"Max + Rico",409,0.052551,0.005915,0.104121,0.03206,false
"GLOBAL (all modes, all maps)",pair,"Angelo + Mico",89,0.110975,0.007024,0.212093,0.03240,false
"GLOBAL (all modes, all maps)",pair,"Cordelius + Brock",216,-0.071197,-0.138287,-0.006140,0.03264,false
"GLOBAL (all modes, all maps)",pair,"Stu + Bibi",133,-0.090726,-0.173386,-0.004643,0.03360,false
"GLOBAL (all modes, all maps)",pair,"Emz + Rico",427,0.049067,0.003821,0.094668,0.03378,false
"GLOBAL (all modes, all maps)",pair,"8-Bit + Piper",514,0.046773,0.000654,0.090316,0.03429,false
"GLOBAL (all modes, all maps)",pair,"Stu + Piper",157,-0.084559,-0.165777,-0.005642,0.03440,false
"GLOBAL (all modes, all maps)",pair,"Bo + Colt",292,-0.062531,-0.118908,-0.002072,0.03460,false
"GLOBAL (all modes, all maps)",pair,"Lou + 8-Bit",146,-0.086033,-0.167590,-0.003133,0.03502,false
"GLOBAL (all modes, all maps)",pair,"Meg + Griff",1315,0.028340,0.002948,0.054649,0.03514,false
"GLOBAL (all modes, all maps)",pair,"Pierce + Bibi",77,-0.120727,-0.230866,-0.000872,0.03612,false
"GLOBAL (all modes, all maps)",pair,"Damian + Surge",448,0.048535,0.003057,0.093599,0.03668,false
"GLOBAL (all modes, all maps)",pair,"Byron + Mortis",319,0.056273,0.001569,0.109520,0.03678,false
"GLOBAL (all modes, all maps)",pair,"Bibi + Brock",201,-0.072817,-0.141002,-0.003656,0.03707,false
"GLOBAL (all modes, all maps)",pair,"Starr Nova + Rico",595,-0.042952,-0.081974,-0.003137,0.03861,false
"GLOBAL (all modes, all maps)",pair,"Tick + Bull",64,-0.125955,-0.238460,0.000409,0.03865,false
"GLOBAL (all modes, all maps)",pair,"Berry + Bull",128,0.090217,0.002997,0.179501,0.04058,false
"GLOBAL (all modes, all maps)",pair,"Fang + 8-Bit",174,-0.077234,-0.152018,-0.003611,0.04090,false
"GLOBAL (all modes, all maps)",pair,"Fang + Colt",133,-0.087096,-0.169023,-0.005165,0.04106,false
"GLOBAL (all modes, all maps)",pair,"Berry + Griff",291,-0.058551,-0.113146,-0.000298,0.04187,false
"GLOBAL (all modes, all maps)",pair,"Chuck + Jessie",73,0.110280,-0.002522,0.211535,0.04254,false
"GLOBAL (all modes, all maps)",pair,"Carl + Crow",402,-0.050766,-0.099656,0.000288,0.04349,false
